"","Date","Geography","Keyword","Relative Search Intensity"
"407","May 2012","US-WI","sauce",74
"408","June 2012","US-WI","sauce",78
"409","July 2012","US-WI","sauce",82
"410","August 2012","US-WI","sauce",92
"411","September 2012","US-WI","sauce",83
"412","October 2012","US-WI","sauce",79
"413","November 2012","US-WI","sauce",83
"414","December 2012","US-WI","sauce",90
"415","January 2013","US-WI","sauce",92
"416","February 2013","US-WI","sauce",88
"417","March 2013","US-WI","sauce",84
"418","April 2013","US-WI","sauce",74
"419","May 2013","US-WI","sauce",75
"420","June 2013","US-WI","sauce",78
"421","July 2013","US-WI","sauce",87
"422","August 2013","US-WI","sauce",93
"423","September 2013","US-WI","sauce",92
"424","October 2013","US-WI","sauce",83
"425","November 2013","US-WI","sauce",98
"426","December 2013","US-WI","sauce",93
"427","January 2014","US-WI","sauce",100
"428","February 2014","US-WI","sauce",94
"429","March 2014","US-WI","sauce",85
"430","January 2011","US-WI","dog",372.666666666667
"431","February 2011","US-WI","dog",374.625
"432","March 2011","US-WI","dog",357.352941176471
"433","April 2011","US-WI","dog",425
"434","May 2011","US-WI","dog",407.8125
"435","June 2011","US-WI","dog",370
"436","July 2011","US-WI","dog",384.470588235294
"437","August 2011","US-WI","dog",348
"438","September 2011","US-WI","dog",301.909090909091
"439","October 2011","US-WI","dog",327.85
"440","November 2011","US-WI","dog",360
"441","December 2011","US-WI","dog",351.954545454545
"442","January 2012","US-WI","dog",368.714285714286
"443","February 2012","US-WI","dog",391
"444","March 2012","US-WI","dog",334.947368421053
"445","April 2012","US-WI","dog",412.941176470588
"446","May 2012","US-WI","dog",365.647058823529
"447","June 2012","US-WI","dog",394.333333333333
"448","July 2012","US-WI","dog",400.888888888889
"449","August 2012","US-WI","dog",398.666666666667
"450","September 2012","US-WI","dog",317.565217391304
"451","October 2012","US-WI","dog",345.105263157895
"452","November 2012","US-WI","dog",347.809523809524
"453","December 2012","US-WI","dog",372.857142857143
"454","January 2013","US-WI","dog",376.761904761905
"455","February 2013","US-WI","dog",381.333333333333
"456","March 2013","US-WI","dog",384.631578947368
"457","April 2013","US-WI","dog",374.111111111111
"458","May 2013","US-WI","dog",379.411764705882
"459","June 2013","US-WI","dog",362.7
"460","July 2013","US-WI","dog",435
"461","August 2013","US-WI","dog",384.130434782609
"462","September 2013","US-WI","dog",323.84
"463","October 2013","US-WI","dog",343.857142857143
"464","November 2013","US-WI","dog",400.909090909091
"465","December 2013","US-WI","dog",363.913043478261
"466","January 2014","US-WI","dog",387.5
"467","February 2014","US-WI","dog",418.3
"468","March 2014","US-WI","dog",395.25
"469","January 2011","US-WI","world cup",9.55555555555556
"470","February 2011","US-WI","world cup",25.3125
"471","March 2011","US-WI","world cup",30.8823529411765
"472","April 2011","US-WI","world cup",20
"473","May 2011","US-WI","world cup",9.375
"474","June 2011","US-WI","world cup",21.7647058823529
"475","July 2011","US-WI","world cup",89.4117647058824
"476","August 2011","US-WI","world cup",12
